,artists,name
357,['BTS'],DNA
358,['Jessie J'],Masterpiece
359,['Zella Day'],East of Eden
360,['Wet Wet Wet'],Sweet Little Mystery
361,['Dan Seals'],Bop
362,['Los Bukis'],Mi Fantasia
363,['Jimmy Cliff'],Reggae Night
364,['The Emotions'],Flowers
365,['Sia'],Santa's Coming for Us
366,['Panic! At The Disco'],Emperor's New Clothes
367,['BTS'],Friends
368,['Luke Combs'],Beer Never Broke My Heart
369,['The Band CAMINO'],See Through
370,['Kane Brown'],Short Skirt Weather
371,['Los Amigos Invisibles'],Mentiras
372,['Cage The Elephant'],Social Cues
373,['Confederate Railroad'],Trashy Women
374,['The Wonders'],That Thing You Do!
375,['Twenty One Pilots'],Oh Ms Believer
376,['Jake Owen'],Made For You
377,"['Laura Dreyfuss', 'Ben Platt']",Only Us
378,['Clinton Kane'],Fix It to Break It
379,['Maroon 5'],Girls Like You
380,"['Michael Bublé', 'The Puppini Sisters']",Jingle Bells (feat. The Puppini Sisters)
381,"['Michael Bublé', 'The Puppini Sisters']",Jingle Bells (feat. The Puppini Sisters)
382,"['Michael Bublé', 'The Puppini Sisters']",Jingle Bells (feat. The Puppini Sisters)
383,['Colmillo Norteño'],El Bueno y el Malo
384,['El Tigrillo Palma'],El 24
385,['Zach Bryan'],Condemened
386,['Amos Lee'],Colors
387,['Chris Stapleton'],Nobody's Lonely Tonight
388,['Pink Sweat$'],Cocaine
389,['Chris Stapleton'],Either Way
390,['One Direction'],I Want to Write You a Song
391,"['Silence Wang', 'By2']",有点甜
392,['Michael Bublé'],Call Me Irresponsible
393,['Khalid'],Shot Down
394,['Lewis Capaldi'],Grace
395,['Queen Naija'],Butterflies
396,"['Bomba Estéreo', 'Tainy']",To My Love - Tainy Remix
397,"['Louis The Child', 'Wafia']",Better Not (with Wafia)
398,['Sasha Sloan'],Lie
399,['HYUKOH'],Wi Ing Wi Ing 위잉위잉
400,['Lady A'],What If I Never Get Over You
401,['Alvvays'],Dreams Tonite
402,['Mac DeMarco'],Ode to Viceroy
403,['Wrabel'],11 Blocks
404,['Band Aid'],Do They Know It's Christmas?
405,"['Ariana Grande', 'Liz Gillies']",Santa Baby
406,['MKTO'],Classic
407,['Katy Perry'],Smile
408,"['Justin Bieber', 'Jaden']",Never Say Never
409,['MAMAMOO'],gogobebe
410,['James Arthur'],Quite Miss Home
411,['Little Big Town'],Next To You
412,['Reik'],Ya Me Enteré
413,['Usher'],Climax
414,['Idina Menzel'],"Let It Go - From ""Frozen""/Soundtrack Version"
415,['Oasis'],Songbird
416,['Chris Young'],Who I Am With You
417,['Jeff Rosenstock'],Nausea
418,['Harry Styles'],Kiwi
419,['Ben Rector'],I Will Always Be Yours
420,['Feist'],Fire In The Water
421,['Sir Chloe'],Michelle
422,['A Rocket To The Moon'],Somebody out There
423,['OneRepublic'],Somebody To Love
424,['Thomas Rhett'],Remember You Young
425,['Oh Wonder'],Lose It
426,"['Lana Del Rey', 'The Weeknd']",Lust For Life (with The Weeknd)
427,['Nick Mulvey'],Fever To The Form
428,['Adele'],Turning Tables
429,['Jacques Brel'],Ne me quitte pas
430,['Jason Mraz'],Winter Wonderland
431,['Jason Mraz'],Winter Wonderland - Bonus Track
432,['Jenni Rivera'],Por Qué No Le Calas
433,['Michael Bublé'],Holly Jolly Christmas
434,['Gerardo Ortiz'],Para Qué Lastimarme
435,['Paul McCartney'],Wonderful Christmastime - Edited Version / Remastered 2011
436,['Bill Withers'],Lovely Day
437,['John Lennon'],Stand By Me - Remastered 2010
438,['Linda Ronstadt'],You're No Good
439,['Jona Lewie'],Stop The Cavalry
440,['One Direction'],Walking in the Wind
441,['Lady Gaga'],The Cure
442,"['Camila Cabello', 'DaBaby']",My Oh My (feat. DaBaby)
443,['beabadoobee'],If You Want To
444,['Saint Motel'],Cold Cold Man
445,['Whitney Houston'],Do You Hear What I Hear?
446,['The Goo Goo Dolls'],Name
447,['Pam Tillis'],Maybe It Was Memphis
448,['Audioslave'],Cochise
449,['Ugly Kid Joe'],Cats In The Cradle
450,['Kelly Clarkson'],My Favorite Things
451,['Glee Cast'],Time Warp (Glee Cast Version)
452,['The Black Keys'],She's Long Gone
453,['Anti-Flag'],The Press Corpse
454,['Kings of Leon'],Rock City
455,"['John Lennon', 'Yoko Ono']",Happy Xmas (War Is Over) - Remastered 2010
456,['Bruce Springsteen'],"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975"
457,['Luis Fonsi'],No Me Doy Por Vencido
458,['Ryan Bingham'],Sunrise
459,['Cory Asbury'],The Father's House - Studio
460,['Train'],Shake Up Christmas
461,['Luke Combs'],Refrigerator Door
462,['Amy Winehouse'],Rehab
463,['Asking Alexandria'],I Won't Give In
464,['Hello Sleepwalkers'],Goya No Machiawase
465,['Michael Bublé'],Love You Anymore
466,['Anson Seabra'],Welcome to Wonderland
467,['Norah Jones'],Feelin' The Same Way
468,['Vicente Fernández'],Estos Celos
469,['Christian French'],hungover sunday
470,['Band Aid'],Do They Know It's Christmas? - 1984 Version
471,"['Queen', 'David Bowie']",Under Pressure - Remastered 2011
472,['The Calling'],Wherever You Will Go
473,['Marillion'],Kayleigh - 2017 Remaster
474,['Liquido'],Narcotic - Radio Edit
475,['Christina Perri'],merry christmas darling
476,['Canyon City'],Alone with You
477,['Jesse'],Bloom Later
478,['Steve Tyrell'],This Guy's In Love With You
479,"['Brad Paisley', 'Dolly Parton']",When I Get Where I'm Going
